field,valid_reviews,coverage_pct
over_all_rating,64624,99.82
seat_comfort,61265,94.63
cabin_staff_service,61038,94.28
food__beverages,52149,80.55
inflight_entertainment,43578,67.31
ground_service,60053,92.76
wifi__connectivity,23622,36.49
value_for_money,64718,99.97
