airport_icao,airport_iata,airport_name,airport_city,country_code,match_status,country_name
ESOE,ORB,Örebro Airport,Örebro,SE,Matched,Sweden
ESOK,KSD,Karlstad Airport,Karlstad,SE,Matched,Sweden
ESOW,VST,Stockholm Västerås Airport,Stockholm / Västerås,SE,Matched,Sweden
ESPA,LLA,Luleå Airport,Luleå,SE,Matched,Sweden
ESSA,ARN,Stockholm-Arlanda Airport,Stockholm,SE,Matched,Sweden
ESSB,BMA,Stockholm-Bromma Airport,Stockholm,SE,Matched,Sweden
ESSD,BLE,Dala Airport,Borlange,SE,Matched,Sweden
ESSK,,Gävle Sandviken Airport,Gävle / Sandviken,SE,Matched,Sweden
ESSL,LPI,Linköping City Airport,Linköping,SE,Matched,Sweden
ESSP,NRK,Norrköping Airport,Norrköping,SE,Matched,Sweden
ESST,TYF,Torsby Airport,Torsby,SE,Matched,Sweden
ESSU,EKT,Eskilstuna Airport,Eskilstuna,SE,Matched,Sweden
ESSV,VBY,Visby Airport,Visby,SE,Matched,Sweden
ESTA,AGH,Ängelholm-Helsingborg Airport,Ängelholm,SE,Matched,Sweden
ESTL,,Ljungbyhed Airfield,Ljungbyhed,SE,Matched,Sweden
ESUD,SQO,Storuman Airport,Storuman,SE,Matched,Sweden
ETAD,SPM,Spangdahlem Air Base,Trier,DE,Matched,Germany
ETAR,RMS,Ramstein Air Base,Ramstein-Miesenbach,DE,Matched,Germany
ETHB,,Bückeburg Air Base,Bückeburg,DE,Matched,Germany
ETHC,,Celle Army Airfield,Celle,DE,Matched,Germany
ETHF,FRZ,Fritzlar Army Airfield,Fritzlar,DE,Matched,Germany
ETHL,,Laupheim Air Base,Laupheim,DE,Matched,Germany
ETHN,,Niederstetten Army Air Base,Niederstetten,DE,Matched,Germany
ETHS,,Faßberg Air Base,Faßberg,DE,Matched,Germany
ETIC,,Grafenwöhr Army Air Field,Grafenwöhr,DE,Matched,Germany
ETIH,,Hohenfels Army Airfield,Hohenfels,DE,Matched,Germany
ETMN,FCN,Sea-Airport Cuxhaven/Nordholz / Nordholz Naval Airbase,Wurster Nordseeküste,DE,Matched,Germany
ETND,,Diepholz Air Base,Diepholz,DE,Matched,Germany
ETNG,GKE,Geilenkirchen Air Base,Geilenkirchen,DE,Matched,Germany
ETNH,,Hohn Air Base,Hohn,DE,Matched,Germany
ETNL,RLG,Rostock-Laage Airport,Laage,DE,Matched,Germany
ETNN,,Nörvenich Air Base,Nörvenich,DE,Matched,Germany
ETNS,WBG,Schleswig Air Base,Jagel,DE,Matched,Germany
ETNT,,Wittmundhafen Air Base,Wittmund,DE,Matched,Germany
ETNW,,Wunstorf Air Base,,DE,Matched,Germany
ETOU,WIE,Wiesbaden Army Airfield,Wiesbaden,DE,Matched,Germany
ETSB,,Büchel Air Base,Alflen,DE,Matched,Germany
ETSH,,Holzdorf Air Base,Holzdorf,DE,Matched,Germany
ETSI,IGS,Ingolstadt Manching Airport,Manching,DE,Matched,Germany
ETSL,,Lechfeld Air Base,Graben,DE,Matched,Germany
ETSN,,Neuburg Air Base,Neuburg an der Donau,DE,Matched,Germany
EVDA,,,,,Unmatched,Unknown
EVKA,,Jēkabpils Air Base,Jēkabpils,LV,Matched,Latvia
EVLA,LPX,Liepāja International Airport,Liepāja,LV,Matched,Latvia
EVRA,RIX,Riga International Airport,Riga,LV,Matched,Latvia
EVTA,,Jūrmala Airport,Tukums,LV,Matched,Latvia
EYKA,KUN,Kaunas International Airport,Kaunas,LT,Matched,Lithuania
EYKD,,Kėdainiai Air Base,Kėdainiai,LT,Matched,Lithuania
EYPA,PLQ,Palanga International Airport,Palanga,LT,Matched,Lithuania
EYPP,PNV,Panevėžys Air Base,Panevėžys,LT,Matched,Lithuania
EYSA,SQQ,Šiauliai International Airport,Šiauliai,LT,Matched,Lithuania
EYSB,,Barysiai Airfield,Šiauliai,LT,Matched,Lithuania
EYVI,VNO,Vilnius International Airport,Vilnius,LT,Matched,Lithuania
GCFV,FUE,Fuerteventura Airport,El Matorral,ES,Matched,Spain
GCHI,VDE,El Hierro Airport,El Hierro Island,ES,Matched,Spain
GCLA,SPC,La Palma Airport,"Sta Cruz de la Palma, La Palma Island",ES,Matched,Spain
GCLP,LPA,Gran Canaria Airport,Gran Canaria Island,ES,Matched,Spain
GCRR,ACE,César Manrique-Lanzarote Airport,San Bartolomé,ES,Matched,Spain
GCTS,TFS,Tenerife Sur Airport,Tenerife,ES,Matched,Spain
GCXO,TFN,Tenerife Norte-Ciudad de La Laguna Airport,Tenerife,ES,Matched,Spain
GE-0007,,Ozurgeti Air Base,Ozurgeti,GE,Matched,Georgia
GE-0010,,Senaki Air Base,Senaki,GE,Matched,Georgia
GEML,MLN,Melilla Airport,Melilla,ES,Matched,Spain
GMFM,MEK,Bassatine Airport,Meknes,MA,Matched,Morocco
GMFO,OUD,Oujda Angads Airport,Ahl Angad,MA,Matched,Morocco
GMME,RBA,Rabat-Salé Airport,Rabat,MA,Matched,Morocco
GMMN,CMN,Mohammed V International Airport,Casablanca,MA,Matched,Morocco
GMMW,NDR,Nador Al Aaroui International Airport,Al Aaroui,MA,Matched,Morocco
GMMX,RAK,Marrakesh Menara Airport,Marrakesh,MA,Matched,Morocco
GMMY,NNA,Kenitra Air Base,Kenitra,MA,Matched,Morocco
GMTA,AHU,Cherif Al Idrissi Airport,Al Hoceima,MA,Matched,Morocco
GMTN,TTU,Sania Ramel Airport,Tétouan,MA,Matched,Morocco
GMTT,TNG,Tangier Ibn Battuta Airport,Tangier,MA,Matched,Morocco
HE16,,Birma Air Base,Tanta,EG,Matched,Egypt
HE28,,Gebel El Basur Air Base,Markaz Ad Delingat,EG,Matched,Egypt
HE32,,Al Mansurah Airbase,Mansoura,EG,Matched,Egypt
HE36,RDL,Bardawil International Airport,El Hassana,EG,Matched,Egypt
HE37,,Bilbeis Air Base,Bilbeis,EG,Matched,Egypt
HE42,,Quesna Airport,Quesna,EG,Matched,Egypt
HEAL,DBB,El Alamein International Airport,El Alamein,EG,Matched,Egypt
HEAR,AAC,El Arish International Airport,El Arish,EG,Matched,Egypt
HEAT,ATZ,Asyut International Airport,Asyut,EG,Matched,Egypt
HEAZ,,Almaza Air Force Base,El Nozha,EG,Matched,Egypt
HEBA,HBE,Alexandria International Airport,Alexandria,EG,Matched,Egypt
HEBS,,Bani Sweif Air Base,Bani Sweif,EG,Matched,Egypt
HECA,CAI,Cairo International Airport,Cairo,EG,Matched,Egypt
HECP,CCE,Capital International Airport,New Cairo,EG,Matched,Egypt
HECW,,Cairo West Air Base,Cairo,EG,Matched,Egypt
HEGN,HRG,Hurghada International Airport,Hurghada,EG,Matched,Egypt
HEGR,EGH,El Jora Airport,El Jora,EG,Matched,Egypt
HEGS,,Jiyanklis Air Base,Abu El Matamir,EG,Matched,Egypt
HEIS,,Al Ismailiyya Air Base,Al Ismailiyya,EG,Matched,Egypt
HEMM,MUH,Mersa Matruh International Airport,Marsa Matruh,EG,Matched,Egypt
HEPS,PSD,Port Said International Airport,Port Said,EG,Matched,Egypt
HESC,SKV,Saint Catherine International Airport,Saint Catherine,EG,Matched,Egypt
HESH,SSH,Sharm El Sheikh International Airport,Sharm El Sheikh,EG,Matched,Egypt
HESX,SPX,Sphinx International Airport,Al Jiza,EG,Matched,Egypt
HETB,TCP,Taba International Airport,Taba,EG,Matched,Egypt
HL77,,Okba Ibn Nafa Air Base,,LY,Matched,Unknown
HLGD,SRX,Sirt International Airport / Ghardabiya Airbase,Sirt,LY,Matched,Unknown
HLLB,BEN,Benina International Airport,Benina,LY,Matched,Unknown
HLLM,MJI,Mitiga International Airport,Tripoli,LY,Matched,Unknown
HU-0002,,Kalocsa-Foktő Airfield,Kalocsa,HU,Matched,Hungary
IQ-0017,,H2 Air Base,,IQ,Matched,Unknown
IQ-0024,,Jalibah Southeast Air Base,Jalibah,IQ,Matched,Unknown
IQ-0030,,Kut Al Hayy East Air Base,,IQ,Matched,Unknown
IQ-0034,,Qalat Salih Air Base,,IQ,Matched,Unknown
IQ-0039,,Rasheed Air Base,Baghdad,IQ,Matched,Unknown
IQ-0040,,Ruwayshid Air Base,,IQ,Matched,Unknown
IQ-0042,,Sahl Sinjar Air Base,,IQ,Matched,Unknown
JO-0002,,King Feisal Air Base,Al-Jafr,JO,Matched,Unknown
LAKV,,Kuçovë Air Base,Kuçovë,AL,Matched,Albania
LATI,TIA,Tirana International Airport Mother Teresa,Rinas,AL,Matched,Albania
LBBG,BOJ,Burgas Airport,Burgas,BG,Matched,Bulgaria
LBGO,GOZ,Gorna Oryahovitsa Airport,Gorna Oryahovitsa,BG,Matched,Bulgaria
LBPD,PDV,Plovdiv International Airport,Plovdiv,BG,Matched,Bulgaria
LBPG,,Graf Ignatievo Air Base,Graf Ignatievo,BG,Matched,Bulgaria
LBPL,,Dolna Mitropoliya Air Base,Dolna Mitropoliya,BG,Matched,Bulgaria
LBSF,SOF,Sofia Airport,Sofia,BG,Matched,Bulgaria
LBWB,,Balchik Airfield,Balchik,BG,Matched,Bulgaria
LBWN,VAR,Varna Airport,Varna,BG,Matched,Bulgaria
LCEN,ECN,Ercan International Airport,Tymbou (Kirklar),CY,Matched,Cyprus
LCLK,LCA,Larnaca International Airport,Larnaca,CY,Matched,Cyprus
LCPH,PFO,Paphos International Airport,Paphos,CY,Matched,Cyprus
LCRA,AKT,RAF Akrotiri,Akrotiri,CY,Matched,Cyprus
LDDU,DBV,Dubrovnik Ruđer Bošković Airport,Dubrovnik,HR,Matched,Croatia
LDOS,OSI,Osijek Airport,Osijek(Klisa),HR,Matched,Croatia
LDPL,PUY,Pula Airport,Pula,HR,Matched,Croatia
LDRI,RJK,Rijeka Airport,Rijeka(Omišalj),HR,Matched,Croatia
LDSB,BWK,Brač Airport,Gornji Humac,HR,Matched,Croatia
LDSP,SPU,Split Saint Jerome Airport,Split,HR,Matched,Croatia
LDZA,ZAG,Zagreb Franjo Tuđman International Airport,Velika Gorica,HR,Matched,Croatia
LDZD,ZAD,Zadar Airport,Zadar,HR,Matched,Croatia
LEAB,ABC,Albacete Airport / Los Llanos Air Base,Albacete,ES,Matched,Spain
LEAL,ALC,Alicante-Elche Miguel Hernández Airport,Alicante,ES,Matched,Spain
LEAM,LEI,Almería Airport,Almería,ES,Matched,Spain
LEAS,OVD,Asturias Airport,Ranón,ES,Matched,Spain
LEBA,ODB,Córdoba Airport,Córdoba,ES,Matched,Spain
LEBB,BIO,Bilbao Airport,Bilbao,ES,Matched,Spain
LEBG,RGS,Burgos Airport,Burgos,ES,Matched,Spain
LEBL,BCN,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,Matched,Spain
LEBZ,BJZ,Badajoz Airport,Badajoz,ES,Matched,Spain
LECH,CDT,Castellón-Costa Azahar Airport,Castellón de la Plana,ES,Matched,Spain
LECO,LCG,A Coruña Airport,Culleredo,ES,Matched,Spain
LECU,,Madrid-Cuatro Vientos Airport,Madrid,ES,Matched,Spain
LEDA,ILD,Lleida-Alguaire Airport,Lleida,ES,Matched,Spain
LEGA,,Armilla Air Base,Armilla,ES,Matched,Spain
LEGE,GRO,Girona-Costa Brava Airport,Girona,ES,Matched,Spain
LEGR,GRX,F.G.L. Airport Granada-Jaén Airport,Granada,ES,Matched,Spain
LEGT,,Getafe Air Base,Getafe,ES,Matched,Spain
LEIB,IBZ,Ibiza Airport,Ibiza (Eivissa),ES,Matched,Spain
LEJR,XRY,Jerez Airport,Jerez de la Frontera,ES,Matched,Spain
LELC,,San Javier Airport,San Javier,ES,Matched,Spain
LELN,LEN,León Airport,La Virgen del Camino,ES,Matched,Spain
LELO,RJL,Logroño-Agoncillo Airport,Logroño,ES,Matched,Spain
LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,Matched,Spain
LEMG,AGP,Málaga-Costa del Sol Airport,Málaga,ES,Matched,Spain
LEMH,MAH,Menorca Airport,Mahón (Maó),ES,Matched,Spain
LEMI,RMU,Region of Murcia International Airport,Corvera,ES,Matched,Spain
LEMO,OZP,Moron Air Base,Morón,ES,Matched,Spain
LEPA,PMI,Palma de Mallorca Airport,Palma de Mallorca,ES,Matched,Spain
LEPP,PNA,Pamplona Airport,Pamplona,ES,Matched,Spain
LERI,,Alcantarilla Air Base,Alcantarilla,ES,Matched,Spain
LERS,REU,Reus Airport,Reus,ES,Matched,Spain
LERT,ROZ,Rota Naval Station Airport,Rota,ES,Matched,Spain
LESA,SLM,Salamanca Airport,Salamanca,ES,Matched,Spain
LESO,EAS,San Sebastián Airport,Hondarribia,ES,Matched,Spain
LEST,SCQ,Santiago-Rosalía de Castro Airport,Santiago de Compostela,ES,Matched,Spain
LETL,TEV,Teruel Airport,Teruel,ES,Matched,Spain
LETO,TOJ,Madrid–Torrejón Airport / Torrejón Air Base,Madrid,ES,Matched,Spain
LEVC,VLC,Valencia Airport,Valencia,ES,Matched,Spain
LEVD,VLL,Valladolid Airport,Valladolid,ES,Matched,Spain
LEVT,VIT,Vitoria Airport,Alava,ES,Matched,Spain
LEVX,VGO,Vigo Airport,Vigo,ES,Matched,Spain
LEXJ,SDR,Seve Ballesteros-Santander Airport,Santander,ES,Matched,Spain
LEZG,ZAZ,Zaragoza Airport,Zaragoza,ES,Matched,Spain
LEZL,SVQ,Seville Airport,Seville,ES,Matched,Spain
LFAC,CQF,Calais Marck Airport,Calais,FR,Matched,France
LFAG,,Péronne Saint-Quentin Airfield,"Monchy-Lagache, Somme",FR,Matched,France
LFAT,LTQ,Le Touquet-Côte d'Opale Airport,Le Touquet-Paris-Plage,FR,Matched,France
LFAV,,Valenciennes-Denain Airfield,Prouvy,FR,Matched,France
LFAY,,Amiens Glisy Airfield,Amiens,FR,Matched,France
LFBA,AGF,Agen La Garenne airport,Agen,FR,Matched,France
LFBC,,Cazaux (BA 120) Air Base,Cazaux (La Teste-de-Buch),FR,Matched,France
LFBD,BOD,Bordeaux–Mérignac Airport,Bordeaux,FR,Matched,France
LFBE,EGC,Bergerac Dordogne-Périgord airport,Bergerac,FR,Matched,France
LFBF,,Toulouse-Francazal (BA 101) Air Base,"Toulouse/Francazal, Haute-Garonne",FR,Matched,France
LFBG,CNG,Cognac-Châteaubernard (BA 709) Air Base,Cognac/Châteaubernard,FR,Matched,France
LFBH,LRH,La Rochelle Île de Ré Airport,La Rochelle,FR,Matched,France
LFBI,PIS,Poitiers-Biard Airport,Poitiers/Biard,FR,Matched,France
LFBK,MCU,Montluçon-Guéret Airport,"Lépaud, Creuse",FR,Matched,France
LFBL,LIG,Limoges Airport,Limoges/Bellegarde,FR,Matched,France
LFBM,,Mont-de-Marsan (BA 118) Air Base,Mont-de-Marsan,FR,Matched,France
LFBN,NIT,Niort - Marais Poitevin Airport,Niort/Souché,FR,Matched,France
LFBO,TLS,Toulouse-Blagnac Airport,Toulouse/Blagnac,FR,Matched,France
LFBP,PUF,Pau Pyrénées Airport,Pau/Pyrénées (Uzein),FR,Matched,France
LFBT,LDE,Tarbes-Lourdes-Pyrénées Airport,Tarbes/Lourdes/Pyrénées,FR,Matched,France
LFBU,ANG,Angoulême Brie-Champniers airport,Angoulême,FR,Matched,France
LFBX,PGX,Périgueux-Bassillac Airport,Périgueux/Bassillac,FR,Matched,France
LFBZ,BIQ,Biarritz Pays Basque airport,Biarritz,FR,Matched,France
LFCC,ZAO,Cahors Lalbenque airport,Cahors,FR,Matched,France
LFCG,,Aérodrome de Saint-Girons - Antichan,Saint-Girons/Antichan,FR,Matched,France
LFCH,,Aérodrome d'Arcachon-La Teste-de-Buch,Arcachon/La Teste-de-Buch,FR,Matched,France
LFCI,LBI,Albi Le Sequestre airport,Albi,FR,Matched,France
LFCK,DCM,Castres Mazamet Airport,Castres,FR,Matched,France
LFCR,RDZ,Rodez–Aveyron Airport,Rodez/Marcillac,FR,Matched,France
LFCY,RYN,Royan-Médis Airport,Royan/Médis,FR,Matched,France
LFDH,,Auch Gers Airfield,Auch,FR,Matched,France
LFDN,RCO,Rochefort-Saint-Agnant (BA 721) Airport,Rochefort/Saint-Agnant,FR,Matched,France
LFGA,CMR,Colmar Houssen airport,Colmar,FR,Matched,France
LFGJ,DLE,Dole Tavaux Airport,Dole,FR,Matched,France
LFGW,,Verdun-Le Rozelier Airfield,"Sommedieue, Meuse",FR,Matched,France
LFHO,OBS,Aubenas-South Ardèche Airport,"Lanas, Ardèche",FR,Matched,France
LFHP,LPY,Le Puy-Loudes Airfield,"Chaspuzac, Haute-Loire",FR,Matched,France
LFJL,ETZ,Metz-Nancy-Lorraine Airport,Goin,FR,Matched,France
LFJR,ANE,Angers Marcé airport,Angers,FR,Matched,France
LFKB,BIA,Bastia-Poretta International airport,Bastia,FR,Matched,France
LFKC,CLY,Calvi Sainte Catherine Airport,Calvi,FR,Matched,France
LFKF,FSC,Figari Sud-Corse Airport,Figari,FR,Matched,France
LFKJ,AJA,Ajaccio Napoléon Bonaparte airport,Ajaccio,FR,Matched,France
LFKS,SOZ,Solenzara (BA 126) Air Base,Solenzara,FR,Matched,France
LFLA,AUF,Auxerre Branches airport,Auxerre,FR,Matched,France
LFLB,CMF,Chambéry Aix les Bains airport,Chambéry,FR,Matched,France
LFLC,CFE,Clermont-Ferrand Auvergne airport,Clermont-Ferrand,FR,Matched,France
LFLD,BOU,Bourges airport,Bourges,FR,Matched,France
LFLH,,Chalon Champforgeuil Airfield,Châlon sur Saône,FR,Matched,France
LFLI,,Annemasse Airfield,Annemasse,FR,Matched,France
LFLL,LYS,Lyon Saint-Exupéry Airport,"Colombier-Saugnieu, Rhône",FR,Matched,France
LFLM,,Mâcon-Charnay Airfield,"Charnay-lès-Mâcon, Saône-et-Loire",FR,Matched,France
LFLN,SYT,Saint-Yan Airport,"L'Hôpital-le-Mercier, Saône-et-Loire",FR,Matched,France
LFLO,RNE,Roanne-Renaison Airport,Saint-Léger-sur-Roanne,FR,Matched,France
LFLP,NCY,Annecy Meythet airport,Annecy,FR,Matched,France
LFLS,GNB,Grenoble Alpes Isère Airport,Grenoble,FR,Matched,France
LFLU,VAF,Valence-Chabeuil Airport,"Chabeuil, Drôme",FR,Matched,France
LFLV,VHY,Vichy-Charmeil Airport,"Charmeil, Allier",FR,Matched,France
LFLW,AUR,Aurillac airport,Aurillac,FR,Matched,France
LFLX,CHR,Châteauroux Déols airport,Châteauroux,FR,Matched,France
LFLY,LYN,Lyon Bron Airport,"Chassieu, Lyon",FR,Matched,France
LFMC,,Le Luc-Le Cannet Airfield,"Le Cannet-des-Maures, Var",FR,Matched,France
LFMD,CEQ,Cannes Mandelieu Airport,Cannes,FR,Matched,France
LFMH,EBU,Saint-Étienne-Bouthéon Airport,"Andrézieux-Bouthéon, Loire",FR,Matched,France
LFMI,,Istres-Le Tubé Air Base,"Istres, Bouches-du-Rhône",FR,Matched,France
LFMK,CCF,Carcassonne Salvaza Airport,Carcassonne,FR,Matched,France
LFML,MRS,Marseille Provence Airport,"Marignane, Bouches-du-Rhône",FR,Matched,France
LFMN,NCE,Nice-Côte d'Azur Airport,"Nice, Alpes-Maritimes",FR,Matched,France
LFMO,,Orange-Caritat (BA 115) Air Base,"Orange, Vaucluse",FR,Matched,France
LFMP,PGF,Perpignan-Rivesaltes (Llabanère) Airport,Perpignan/Rivesaltes,FR,Matched,France
LFMQ,CTT,Le Castellet Airport,"Le Castellet, Var",FR,Matched,France
LFMS,,Aérodrome d'Alès Cévennes,Alès/Deaux,FR,Matched,France
LFMT,MPL,Montpellier-Méditerranée Airport,Montpellier/Méditerranée,FR,Matched,France
LFMU,BZR,Béziers Vias airport,Béziers,FR,Matched,France
LFMV,AVN,Avignon Caumont airport,Avignon,FR,Matched,France
LFMY,,Salon-de-Provence (BA 701) Air Base,Salon,FR,Matched,France
LFNB,MEN,Mende-Brenoux Airfield,Mende/Brénoux,FR,Matched,France
LFOA,,Avord (BA 702) Air Base,Avord,FR,Matched,France
LFOB,BVA,Beauvais-Tillé airport,Beauvais,FR,Matched,France
LFOC,,Châteaudun Airfield,"Châteaudun, Eure-et-Loir",FR,Matched,France
LFOE,EVX,Évreux-Fauville (BA 105) Air Base,"Fauville, Eure",FR,Matched,France
LFOH,LEH,Le Havre-Octeville Airport,Le Havre,FR,Matched,France
LFOI,,Abbeville-Buigny Baie de Somme Airfield,Buigny-Saint-Maclou,FR,Matched,France
LFOJ,,Orléans-Bricy (BA 123) Air Base,"Boulay-les-Barres, Loiret",FR,Matched,France
LFOK,XCR,Chalons Vatry airport,Chalons en Champagne,FR,Matched,France
LFOP,URO,Rouen Vallée de Seine Airport,Boos,FR,Matched,France
LFOT,TUF,Tours Val de Loire Airport,"Tours, Indre-et-Loire",FR,Matched,France
LFOV,LVA,Laval-Entrammes Airport,"Laval, Mayenne",FR,Matched,France
LFPB,LBG,Paris-Le Bourget International Airport,Paris,FR,Matched,France
LFPC,CSF,Creil Air Base,Creil,FR,Matched,France
LFPG,CDG,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",FR,Matched,France
LFPM,,Melun-Villaroche Airfield,"Moissy-Cramayel, Seine-et-Marne",FR,Matched,France
LFPN,TNF,Toussus-le-Noble Airport,"Toussus-le-Noble, Yvelines",FR,Matched,France
LFPO,ORY,Paris-Orly Airport,"Paris (Orly, Val-de-Marne)",FR,Matched,France
LFPT,POX,Pontoise-Cormeilles Aerodrome,"Cormeilles-en-Vexin, Val-d'Oise",FR,Matched,France
LFPV,VIY,Vélizy-Villacoublay Air Base,"Vélizy-Villacoublay, Yvelines",FR,Matched,France
LFQB,,Troyes-Barberey Airport,"Barberey-Saint-Sulpice, Aube",FR,Matched,France
LFQE,,Lieutenant Étienne Mantoux Air Base,Rouvres-en-Woëvre,FR,Matched,France
LFQG,NVS,Nevers-Fourchambault Airport,"Marzy, Nièvre",FR,Matched,France
LFQP,,Phalsbourg-Bourscheid Air Base,Bourscheid,FR,Matched,France
LFQQ,LIL,Lille Airport,Lesquin,FR,Matched,France
LFQT,HZB,Merville-Calonne Airport,"Merville, Nord",FR,Matched,France
LFQV,,Charleville-Mézières Ardennes-Etienne Riché Airfield,Charleville-Mézières,FR,Matched,France
LFQW,,Vesoul-Frotey Airfield,"Frotey-lès-Vesoul, Haute-Saône",FR,Matched,France
LFRB,BES,Brest Bretagne airport,Brest,FR,Matched,France
LFRC,CER,Cherbourg Manche airport,Cherbourg,FR,Matched,France
LFRD,DNR,Dinard Pleurtuit Saint-Malo airport,Dinard,FR,Matched,France
LFRE,LBY,La Baule-Escoublac Airport,La Baule-Escoublac,FR,Matched,France
LFRF,GFR,Granville Airport,"Bréville-sur-Mer, Manche",FR,Matched,France
LFRG,DOL,Deauville Normandie airport,Deauville,FR,Matched,France
LFRH,LRT,Lorient South Brittany (Bretagne Sud) Airport,Lorient/Lann/Bihoué,FR,Matched,France
LFRI,EDM,La Roche-sur-Yon Les Ajoncs Airport,La Roche-sur-Yon,FR,Matched,France
LFRJ,LDV,Landivisiau Air Base,Landivisiau,FR,Matched,France
LFRK,CFR,Caen Carpiquet airport,Caen,FR,Matched,France
LFRL,,Lanvéoc-Poulmic Air Base,Lanvéoc/Poulmic,FR,Matched,France
LFRM,LME,Le Mans-Arnage Airport,"Le Mans, Sarthe",FR,Matched,France
LFRN,RNS,Rennes-Saint-Jacques Airport,"Saint-Jacques-de-la-Lande, Ille-et-Vilaine",FR,Matched,France
LFRO,LAI,Lannion Airport,Lannion,FR,Matched,France
LFRQ,UIP,Quimper-Cornouaille Airport,Quimper/Pluguffan,FR,Matched,France
LFRS,NTE,Nantes Atlantique Airport,Nantes,FR,Matched,France
LFRT,SBK,Saint-Brieuc-Armor Airport,"Trémuson, Côtes-d'Armor",FR,Matched,France
LFRU,MXN,Morlaix-Ploujean Airport,Morlaix/Ploujean,FR,Matched,France
LFRV,VNE,Vannes-Meucon Airport,Vannes/Meucon,FR,Matched,France
LFRZ,SNR,Saint-Nazaire-Montoir Airport,Saint-Nazaire/Montoir,FR,Matched,France
LFSB,BSL,EuroAirport Basel–Mulhouse–Freiburg,Bâle / Mulhouse,FR,Matched,France
LFSD,DIJ,Dijon Longvic airport,Dijon,FR,Matched,France
LFSG,EPL,Épinal Mirecourt Airport,Épinal,FR,Matched,France
LFSI,,Saint-Dizier – Robinson Air Base,Saint-Dizier,FR,Matched,France
LFSL,BVE,Brive Souillac airport,Brive,FR,Matched,France
LFSM,,Montbéliard-Courcelles Airfield,Courcelles-lès-Montbéliard,FR,Matched,France
LFSN,ENC,Nancy-Essey Airport,"Tomblaine, Meurthe-et-Moselle",FR,Matched,France
LFSO,,Nancy-Ochey (BA 133) Air Base,Thuilley-aux-Groseilles,FR,Matched,France
LFST,SXB,Strasbourg Airport,Strasbourg,FR,Matched,France
LFSX,,Luxeuil-Saint-Sauveur (BA 116) Air Base,Saint-Sauveur,FR,Matched,France
LFTH,TLN,Toulon-Hyères Airport,"Hyères, Var",FR,Matched,France
LFTO,,,,,Unmatched,Unknown
LFTW,FNI,Nîmes-Arles-Camargue Airport,Nîmes/Garons,FR,Matched,France
LFXA,,Ambérieu Air Base (BA 278),Ambérieu,FR,Matched,France
LGAD,PYR,Andravida Air Base,Andravida,GR,Matched,Greece
LGAL,AXD,Alexandroupoli Democritus Airport,Alexandroupolis,GR,Matched,Greece
LGAV,ATH,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,Matched,Greece
LGBL,VOL,Nea Anchialos National Airport,Nea Anchialos,GR,Matched,Greece
LGEL,,Elefsis Air Base,Elefsina,GR,Matched,Greece
LGHI,JKH,Chios Island National Airport,Chios Island,GR,Matched,Greece
LGIO,IOA,Ioannina King Pyrrhus National Airport,Ioannina,GR,Matched,Greece
LGIR,HER,Heraklion International Nikos Kazantzakis Airport,Heraklion,GR,Matched,Greece
LGKF,EFL,Kefallinia Airport,Kefallinia Island,GR,Matched,Greece
LGKL,KLX,Kalamata Airport,Kalamata,GR,Matched,Greece
LGKO,KGS,"Kos International Airport ""Ippokratis""",Kos Island,GR,Matched,Greece
LGKP,AOK,Karpathos Airport,Karpathos Island,GR,Matched,Greece
LGKR,CFU,Corfu Ioannis Kapodistrias International Airport,Kerkyra (Corfu),GR,Matched,Greece
LGKV,KVA,Kavala Alexander the Great International Airport,Kavala,GR,Matched,Greece
LGKZ,KZI,Kozani National Airport Filippos,Kozani,GR,Matched,Greece
LGMK,JMK,Mykonos Island National Airport,Mykonos,GR,Matched,Greece
LGMT,MJT,Mytilene International Airport,Mytilene,GR,Matched,Greece
LGPZ,PVK,Aktion National Airport,Preveza,GR,Matched,Greece
LGRP,RHO,"Rhodes International Airport ""Diagoras""",Rhodes,GR,Matched,Greece
LGRX,GPA,Patras Araxos Agamemnon Airport,Patras,GR,Matched,Greece
LGSA,CHQ,Chania International Airport,Souda,GR,Matched,Greece
LGSK,JSI,Skiathos Island National Airport,Skiathos,GR,Matched,Greece
LGSM,SMI,Samos Airport,Samos Island,GR,Matched,Greece
LGSR,JTR,Santorini International Airport,Santorini Island,GR,Matched,Greece
LGST,JSH,Sitia Airport,Crete Island,GR,Matched,Greece
LGTG,,Tanagra Air Base,Tanagra,GR,Matched,Greece
LGTS,SKG,Thessaloniki Macedonia International Airport,Thessaloniki,GR,Matched,Greece
LGZA,ZTH,Zakynthos International Airport Dionysios Solomos,Zakynthos,GR,Matched,Greece
LHBP,BUD,Budapest Liszt Ferenc International Airport,Budapest,HU,Matched,Hungary
LHDC,DEB,Debrecen International Airport,Debrecen,HU,Matched,Hungary
LHKE,,Kecskemét Air Base,Kecskemét,HU,Matched,Hungary
LHPP,PEV,Pécs-Pogány International Airport,Pécs,HU,Matched,Hungary
LHPR,,Győr-Pér Airport,Győr,HU,Matched,Hungary
LHSM,SOB,Hévíz–Balaton Airport,Sármellék,HU,Matched,Hungary
