airport_icao,airport_iata,airport_name,airport_city,country_code,match_status,country_name
EDQA,,Bamberg-Breitenau Airfield,Bamberg,DE,Matched,Germany
EDQD,BYU,Bayreuth Airport,Bindlach,DE,Matched,Germany
EDQM,HOQ,Hof-Plauen Airport,Hof,DE,Matched,Germany
EDSB,FKB,Karlsruhe Baden-Baden Airport,Rheinmünster,DE,Matched,Germany
EDTD,,Donaueschingen-Villingen Airfield,Donaueschingen,DE,Matched,Germany
EDTL,LHA,Lahr Airport,Lahr/Schwarzwald,DE,Matched,Germany
EDTY,,Adolf Würth Airport,Schwäbisch Hall,DE,Matched,Germany
EDUZ,,Zerbst Airfield,Straguth,DE,Matched,Germany
EDVE,BWE,Braunschweig-Wolfsburg Airport,Braunschweig,DE,Matched,Germany
EDVK,KSF,Kassel Airport,Calden,DE,Matched,Germany
EDXW,GWT,Westerland Sylt Airport,Sylt,DE,Matched,Germany
EEEI,,Ämari Air Base,Keila,EE,Matched,Estonia
EEKA,KDL,Kärdla Airport,Kärdla,EE,Matched,Estonia
EEKE,URE,Kuressaare Airport,Kuressaare,EE,Matched,Estonia
EEPU,EPU,Pärnu Airport,Pärnu,EE,Matched,Estonia
EETN,TLL,Lennart Meri Tallinn Airport,Tallinn,EE,Matched,Estonia
EETU,TAY,Tartu Airport,Tartu,EE,Matched,Estonia
EFET,ENF,Enontekio Airport,Enontekio,FI,Matched,Finland
EFHA,KEV,Halli Airport,Jämsä,FI,Matched,Finland
EFHK,HEL,Helsinki Vantaa Airport,Helsinki (Vantaa),FI,Matched,Finland
EFIT,KTQ,Kitee Airport,Kitee,FI,Matched,Finland
EFJO,JOE,Joensuu Airport,Joensuu,FI,Matched,Finland
EFJY,JYV,Jyväskylä Airport,Jyväskylän Maalaiskunta,FI,Matched,Finland
EFKA,KAU,Kauhava Airfield,Kauhava,FI,Matched,Finland
EFKI,KAJ,Kajaani Airport,Kajaani,FI,Matched,Finland
EFKJ,KHJ,Kauhajoki Airfield,Kauhajoki,FI,Matched,Finland
