airport_icao
BG-JAM
BIHN
BIKF
BIRK
BIVM
BKPR
BY-0001
BY-0003
BY-0006
CY-0002
DAAB
DAAE
DAAG
DAAK
DAAV
DAAZ
DABB
DABC
DAOI
DAOL
DAON
DAOO
DAOV
DTKA
DTMB
DTNH
DTTA
DTTB
DTTD
DTTG
DTTJ
DTTX
EBAW
EBBE
EBBL
EBBR
EBCI
EBCV
EBFN
EBFS
EBKT
EBLG
EBOS
EDAC
EDAH
EDBN
EDBR
EDDB
EDDC
EDDE
EDDF
EDDG
EDDH
EDDK
EDDL
EDDM
EDDN
EDDP
EDDR
EDDS
EDDV
EDDW
EDFE
EDFH
EDFM
EDFZ
EDGE
EDGS
EDHI
EDHK
EDHL
EDJA
EDLN
EDLP
EDLV
EDLW
EDMA
EDMO
EDNY
EDQA
EDQD
EDQM
EDSB
EDTD
EDTL
EDTY
EDUZ
EDVE
EDVK
EDXW
EEEI
EEKA
EEKE
EEPU
EETN
EETU
EFET
EFHA
EFHK
EFIT
EFJO
EFJY
EFKA
EFKI
EFKJ
EFKK
EFKS
EFKU
EFLP
EFMA
EFMI
EFOU
EFPO
EFPR
EFSA
EFSI
EFTP
EFTU
EFUT
EFVA
EFVR
EFYL
EG-0003
EGAA
EGAB
EGAC
EGAE
EGBB
EGBE
EGBJ
EGBN
EGCC
EGDC
EGDM
EGDR
EGDX
EGDY
EGEC
EGED
EGFE
EGFF
EGFH
EGGD
EGGP
EGGW
EGHH
EGHI
EGHL
EGHQ
EGJA
EGJB
EGJJ
EGKA
EGKB
EGKK
EGLC
EGLF
EGLK
EGLL
EGMC
EGMD
EGNC
EGNH
EGNJ
EGNL
EGNM
EGNO
EGNR
EGNS
EGNT
EGNV
EGNX
EGOM
EGOS
EGOV
EGPA
EGPB
EGPC
EGPD
EGPE
EGPF
EGPH
EGPI
EGPK
EGPL
EGPN
EGPO
EGPU
EGQL
EGQS
EGSC
EGSH
EGSS
EGTC
EGTE
EGTK
EGUB
EGUL
EGUN
EGUW
EGVA
EGVN
EGVO
EGWC
EGWU
EGXC
EGXE
EGXG
EGXH
EGXP
EGXT
EGXW
EGXZ
EGYD
EGYE
EGYM
EHAM
EHBD
EHBK
EHDL
EHEH
EHGG
EHGR
EHKD
EHLE
EHLW
EHRD
EHTW
EHVK
EHWO
EICK
EICM
EIDL
EIDW
EIKN
EIKY
EIME
EINN
EISG
EIWF
EIWT
EKAH
EKBI
EKCH
EKEB
EKKA
EKMB
EKOD
EKRK
EKRN
EKSB
EKSN
EKSP
EKSV
EKTS
EKVD
EKVJ
EKYT
ELLX
ENAL
ENBN
ENBO
ENBR
ENCN
ENDU
ENEV
ENFG
ENFL
ENGM
ENHD
ENLK
ENMS
ENNO
ENOL
ENRA
ENRM
