airport_icao,airport_iata,airport_name,airport_city,country_code,match_status
GCXO,TFN,Tenerife Norte-Ciudad de La Laguna Airport,Tenerife,ES,Matched
GE-0007,,Ozurgeti Air Base,Ozurgeti,GE,Matched
GE-0010,,Senaki Air Base,Senaki,GE,Matched
GEML,MLN,Melilla Airport,Melilla,ES,Matched
GMFM,MEK,Bassatine Airport,Meknes,MA,Matched
GMFO,OUD,Oujda Angads Airport,Ahl Angad,MA,Matched
GMME,RBA,Rabat-Salé Airport,Rabat,MA,Matched
GMMN,CMN,Mohammed V International Airport,Casablanca,MA,Matched
GMMW,NDR,Nador Al Aaroui International Airport,Al Aaroui,MA,Matched
GMMX,RAK,Marrakesh Menara Airport,Marrakesh,MA,Matched
GMMY,NNA,Kenitra Air Base,Kenitra,MA,Matched
GMTA,AHU,Cherif Al Idrissi Airport,Al Hoceima,MA,Matched
GMTN,TTU,Sania Ramel Airport,Tétouan,MA,Matched
GMTT,TNG,Tangier Ibn Battuta Airport,Tangier,MA,Matched
HE16,,Birma Air Base,Tanta,EG,Matched
HE28,,Gebel El Basur Air Base,Markaz Ad Delingat,EG,Matched
HE32,,Al Mansurah Airbase,Mansoura,EG,Matched
HE36,RDL,Bardawil International Airport,El Hassana,EG,Matched
HE37,,Bilbeis Air Base,Bilbeis,EG,Matched
HE42,,Quesna Airport,Quesna,EG,Matched
HEAL,DBB,El Alamein International Airport,El Alamein,EG,Matched
HEAR,AAC,El Arish International Airport,El Arish,EG,Matched
HEAT,ATZ,Asyut International Airport,Asyut,EG,Matched
HEAZ,,Almaza Air Force Base,El Nozha,EG,Matched
HEBA,HBE,Alexandria International Airport,Alexandria,EG,Matched
HEBS,,Bani Sweif Air Base,Bani Sweif,EG,Matched
HECA,CAI,Cairo International Airport,Cairo,EG,Matched
HECP,CCE,Capital International Airport,New Cairo,EG,Matched
HECW,,Cairo West Air Base,Cairo,EG,Matched
HEGN,HRG,Hurghada International Airport,Hurghada,EG,Matched
HEGR,EGH,El Jora Airport,El Jora,EG,Matched
HEGS,,Jiyanklis Air Base,Abu El Matamir,EG,Matched
HEIS,,Al Ismailiyya Air Base,Al Ismailiyya,EG,Matched
HEMM,MUH,Mersa Matruh International Airport,Marsa Matruh,EG,Matched
HEPS,PSD,Port Said International Airport,Port Said,EG,Matched
HESC,SKV,Saint Catherine International Airport,Saint Catherine,EG,Matched
HESH,SSH,Sharm El Sheikh International Airport,Sharm El Sheikh,EG,Matched
HESX,SPX,Sphinx International Airport,Al Jiza,EG,Matched
HETB,TCP,Taba International Airport,Taba,EG,Matched
HL77,,Okba Ibn Nafa Air Base,,LY,Matched
HLGD,SRX,Sirt International Airport / Ghardabiya Airbase,Sirt,LY,Matched
HLLB,BEN,Benina International Airport,Benina,LY,Matched
HLLM,MJI,Mitiga International Airport,Tripoli,LY,Matched
HU-0002,,Kalocsa-Foktő Airfield,Kalocsa,HU,Matched
IQ-0017,,H2 Air Base,,IQ,Matched
IQ-0024,,Jalibah Southeast Air Base,Jalibah,IQ,Matched
IQ-0030,,Kut Al Hayy East Air Base,,IQ,Matched
IQ-0034,,Qalat Salih Air Base,,IQ,Matched
IQ-0039,,Rasheed Air Base,Baghdad,IQ,Matched
IQ-0040,,Ruwayshid Air Base,,IQ,Matched
IQ-0042,,Sahl Sinjar Air Base,,IQ,Matched
JO-0002,,King Feisal Air Base,Al-Jafr,JO,Matched
LAKV,,Kuçovë Air Base,Kuçovë,AL,Matched
LATI,TIA,Tirana International Airport Mother Teresa,Rinas,AL,Matched
LBBG,BOJ,Burgas Airport,Burgas,BG,Matched
LBGO,GOZ,Gorna Oryahovitsa Airport,Gorna Oryahovitsa,BG,Matched
LBPD,PDV,Plovdiv International Airport,Plovdiv,BG,Matched
LBPG,,Graf Ignatievo Air Base,Graf Ignatievo,BG,Matched
LBPL,,Dolna Mitropoliya Air Base,Dolna Mitropoliya,BG,Matched
LBSF,SOF,Sofia Airport,Sofia,BG,Matched
LBWB,,Balchik Airfield,Balchik,BG,Matched
LBWN,VAR,Varna Airport,Varna,BG,Matched
LCEN,ECN,Ercan International Airport,Tymbou (Kirklar),CY,Matched
LCLK,LCA,Larnaca International Airport,Larnaca,CY,Matched
LCPH,PFO,Paphos International Airport,Paphos,CY,Matched
LCRA,AKT,RAF Akrotiri,Akrotiri,CY,Matched
LDDU,DBV,Dubrovnik Ruđer Bošković Airport,Dubrovnik,HR,Matched
LDOS,OSI,Osijek Airport,Osijek(Klisa),HR,Matched
LDPL,PUY,Pula Airport,Pula,HR,Matched
LDRI,RJK,Rijeka Airport,Rijeka(Omišalj),HR,Matched
LDSB,BWK,Brač Airport,Gornji Humac,HR,Matched
LDSP,SPU,Split Saint Jerome Airport,Split,HR,Matched
LDZA,ZAG,Zagreb Franjo Tuđman International Airport,Velika Gorica,HR,Matched
LDZD,ZAD,Zadar Airport,Zadar,HR,Matched
LEAB,ABC,Albacete Airport / Los Llanos Air Base,Albacete,ES,Matched
LEAL,ALC,Alicante-Elche Miguel Hernández Airport,Alicante,ES,Matched
LEAM,LEI,Almería Airport,Almería,ES,Matched
LEAS,OVD,Asturias Airport,Ranón,ES,Matched
LEBA,ODB,Córdoba Airport,Córdoba,ES,Matched
LEBB,BIO,Bilbao Airport,Bilbao,ES,Matched
LEBG,RGS,Burgos Airport,Burgos,ES,Matched
LEBL,BCN,Josep Tarradellas Barcelona-El Prat Airport,Barcelona,ES,Matched
LEBZ,BJZ,Badajoz Airport,Badajoz,ES,Matched
LECH,CDT,Castellón-Costa Azahar Airport,Castellón de la Plana,ES,Matched
LECO,LCG,A Coruña Airport,Culleredo,ES,Matched
LECU,,Madrid-Cuatro Vientos Airport,Madrid,ES,Matched
LEDA,ILD,Lleida-Alguaire Airport,Lleida,ES,Matched
LEGA,,Armilla Air Base,Armilla,ES,Matched
LEGE,GRO,Girona-Costa Brava Airport,Girona,ES,Matched
LEGR,GRX,F.G.L. Airport Granada-Jaén Airport,Granada,ES,Matched
LEGT,,Getafe Air Base,Getafe,ES,Matched
LEIB,IBZ,Ibiza Airport,Ibiza (Eivissa),ES,Matched
LEJR,XRY,Jerez Airport,Jerez de la Frontera,ES,Matched
LELC,,San Javier Airport,San Javier,ES,Matched
LELN,LEN,León Airport,La Virgen del Camino,ES,Matched
LELO,RJL,Logroño-Agoncillo Airport,Logroño,ES,Matched
LEMD,MAD,Adolfo Suárez Madrid–Barajas Airport,Madrid,ES,Matched
LEMG,AGP,Málaga-Costa del Sol Airport,Málaga,ES,Matched
LEMH,MAH,Menorca Airport,Mahón (Maó),ES,Matched
LEMI,RMU,Region of Murcia International Airport,Corvera,ES,Matched
LEMO,OZP,Moron Air Base,Morón,ES,Matched
LEPA,PMI,Palma de Mallorca Airport,Palma de Mallorca,ES,Matched
LEPP,PNA,Pamplona Airport,Pamplona,ES,Matched
LERI,,Alcantarilla Air Base,Alcantarilla,ES,Matched
LERS,REU,Reus Airport,Reus,ES,Matched
LERT,ROZ,Rota Naval Station Airport,Rota,ES,Matched
LESA,SLM,Salamanca Airport,Salamanca,ES,Matched
LESO,EAS,San Sebastián Airport,Hondarribia,ES,Matched
LEST,SCQ,Santiago-Rosalía de Castro Airport,Santiago de Compostela,ES,Matched
LETL,TEV,Teruel Airport,Teruel,ES,Matched
LETO,TOJ,Madrid–Torrejón Airport / Torrejón Air Base,Madrid,ES,Matched
LEVC,VLC,Valencia Airport,Valencia,ES,Matched
LEVD,VLL,Valladolid Airport,Valladolid,ES,Matched
LEVT,VIT,Vitoria Airport,Alava,ES,Matched
LEVX,VGO,Vigo Airport,Vigo,ES,Matched
LEXJ,SDR,Seve Ballesteros-Santander Airport,Santander,ES,Matched
LEZG,ZAZ,Zaragoza Airport,Zaragoza,ES,Matched
LEZL,SVQ,Seville Airport,Seville,ES,Matched
LFAC,CQF,Calais Marck Airport,Calais,FR,Matched
LFAG,,Péronne Saint-Quentin Airfield,"Monchy-Lagache, Somme",FR,Matched
LFAT,LTQ,Le Touquet-Côte d'Opale Airport,Le Touquet-Paris-Plage,FR,Matched
LFAV,,Valenciennes-Denain Airfield,Prouvy,FR,Matched
LFAY,,Amiens Glisy Airfield,Amiens,FR,Matched
LFBA,AGF,Agen La Garenne airport,Agen,FR,Matched
LFBC,,Cazaux (BA 120) Air Base,Cazaux (La Teste-de-Buch),FR,Matched
LFBD,BOD,Bordeaux–Mérignac Airport,Bordeaux,FR,Matched
LFBE,EGC,Bergerac Dordogne-Périgord airport,Bergerac,FR,Matched
LFBF,,Toulouse-Francazal (BA 101) Air Base,"Toulouse/Francazal, Haute-Garonne",FR,Matched
LFBG,CNG,Cognac-Châteaubernard (BA 709) Air Base,Cognac/Châteaubernard,FR,Matched
LFBH,LRH,La Rochelle Île de Ré Airport,La Rochelle,FR,Matched
LFBI,PIS,Poitiers-Biard Airport,Poitiers/Biard,FR,Matched
LFBK,MCU,Montluçon-Guéret Airport,"Lépaud, Creuse",FR,Matched
LFBL,LIG,Limoges Airport,Limoges/Bellegarde,FR,Matched
LFBM,,Mont-de-Marsan (BA 118) Air Base,Mont-de-Marsan,FR,Matched
LFBN,NIT,Niort - Marais Poitevin Airport,Niort/Souché,FR,Matched
LFBO,TLS,Toulouse-Blagnac Airport,Toulouse/Blagnac,FR,Matched
LFBP,PUF,Pau Pyrénées Airport,Pau/Pyrénées (Uzein),FR,Matched
LFBT,LDE,Tarbes-Lourdes-Pyrénées Airport,Tarbes/Lourdes/Pyrénées,FR,Matched
LFBU,ANG,Angoulême Brie-Champniers airport,Angoulême,FR,Matched
LFBX,PGX,Périgueux-Bassillac Airport,Périgueux/Bassillac,FR,Matched
LFBZ,BIQ,Biarritz Pays Basque airport,Biarritz,FR,Matched
LFCC,ZAO,Cahors Lalbenque airport,Cahors,FR,Matched
LFCG,,Aérodrome de Saint-Girons - Antichan,Saint-Girons/Antichan,FR,Matched
LFCH,,Aérodrome d'Arcachon-La Teste-de-Buch,Arcachon/La Teste-de-Buch,FR,Matched
LFCI,LBI,Albi Le Sequestre airport,Albi,FR,Matched
LFCK,DCM,Castres Mazamet Airport,Castres,FR,Matched
LFCR,RDZ,Rodez–Aveyron Airport,Rodez/Marcillac,FR,Matched
LFCY,RYN,Royan-Médis Airport,Royan/Médis,FR,Matched
LFDH,,Auch Gers Airfield,Auch,FR,Matched
LFDN,RCO,Rochefort-Saint-Agnant (BA 721) Airport,Rochefort/Saint-Agnant,FR,Matched
LFGA,CMR,Colmar Houssen airport,Colmar,FR,Matched
LFGJ,DLE,Dole Tavaux Airport,Dole,FR,Matched
LFGW,,Verdun-Le Rozelier Airfield,"Sommedieue, Meuse",FR,Matched
LFHO,OBS,Aubenas-South Ardèche Airport,"Lanas, Ardèche",FR,Matched
LFHP,LPY,Le Puy-Loudes Airfield,"Chaspuzac, Haute-Loire",FR,Matched
LFJL,ETZ,Metz-Nancy-Lorraine Airport,Goin,FR,Matched
LFJR,ANE,Angers Marcé airport,Angers,FR,Matched
LFKB,BIA,Bastia-Poretta International airport,Bastia,FR,Matched
LFKC,CLY,Calvi Sainte Catherine Airport,Calvi,FR,Matched
LFKF,FSC,Figari Sud-Corse Airport,Figari,FR,Matched
LFKJ,AJA,Ajaccio Napoléon Bonaparte airport,Ajaccio,FR,Matched
LFKS,SOZ,Solenzara (BA 126) Air Base,Solenzara,FR,Matched
LFLA,AUF,Auxerre Branches airport,Auxerre,FR,Matched
LFLB,CMF,Chambéry Aix les Bains airport,Chambéry,FR,Matched
LFLC,CFE,Clermont-Ferrand Auvergne airport,Clermont-Ferrand,FR,Matched
LFLD,BOU,Bourges airport,Bourges,FR,Matched
LFLH,,Chalon Champforgeuil Airfield,Châlon sur Saône,FR,Matched
LFLI,,Annemasse Airfield,Annemasse,FR,Matched
LFLL,LYS,Lyon Saint-Exupéry Airport,"Colombier-Saugnieu, Rhône",FR,Matched
LFLM,,Mâcon-Charnay Airfield,"Charnay-lès-Mâcon, Saône-et-Loire",FR,Matched
LFLN,SYT,Saint-Yan Airport,"L'Hôpital-le-Mercier, Saône-et-Loire",FR,Matched
LFLO,RNE,Roanne-Renaison Airport,Saint-Léger-sur-Roanne,FR,Matched
LFLP,NCY,Annecy Meythet airport,Annecy,FR,Matched
LFLS,GNB,Grenoble Alpes Isère Airport,Grenoble,FR,Matched
LFLU,VAF,Valence-Chabeuil Airport,"Chabeuil, Drôme",FR,Matched
LFLV,VHY,Vichy-Charmeil Airport,"Charmeil, Allier",FR,Matched
LFLW,AUR,Aurillac airport,Aurillac,FR,Matched
LFLX,CHR,Châteauroux Déols airport,Châteauroux,FR,Matched
LFLY,LYN,Lyon Bron Airport,"Chassieu, Lyon",FR,Matched
LFMC,,Le Luc-Le Cannet Airfield,"Le Cannet-des-Maures, Var",FR,Matched
LFMD,CEQ,Cannes Mandelieu Airport,Cannes,FR,Matched
LFMH,EBU,Saint-Étienne-Bouthéon Airport,"Andrézieux-Bouthéon, Loire",FR,Matched
LFMI,,Istres-Le Tubé Air Base,"Istres, Bouches-du-Rhône",FR,Matched
LFMK,CCF,Carcassonne Salvaza Airport,Carcassonne,FR,Matched
LFML,MRS,Marseille Provence Airport,"Marignane, Bouches-du-Rhône",FR,Matched
LFMN,NCE,Nice-Côte d'Azur Airport,"Nice, Alpes-Maritimes",FR,Matched
LFMO,,Orange-Caritat (BA 115) Air Base,"Orange, Vaucluse",FR,Matched
LFMP,PGF,Perpignan-Rivesaltes (Llabanère) Airport,Perpignan/Rivesaltes,FR,Matched
LFMQ,CTT,Le Castellet Airport,"Le Castellet, Var",FR,Matched
LFMS,,Aérodrome d'Alès Cévennes,Alès/Deaux,FR,Matched
LFMT,MPL,Montpellier-Méditerranée Airport,Montpellier/Méditerranée,FR,Matched
LFMU,BZR,Béziers Vias airport,Béziers,FR,Matched
LFMV,AVN,Avignon Caumont airport,Avignon,FR,Matched
LFMY,,Salon-de-Provence (BA 701) Air Base,Salon,FR,Matched
LFNB,MEN,Mende-Brenoux Airfield,Mende/Brénoux,FR,Matched
LFOA,,Avord (BA 702) Air Base,Avord,FR,Matched
LFOB,BVA,Beauvais-Tillé airport,Beauvais,FR,Matched
LFOC,,Châteaudun Airfield,"Châteaudun, Eure-et-Loir",FR,Matched
LFOE,EVX,Évreux-Fauville (BA 105) Air Base,"Fauville, Eure",FR,Matched
LFOH,LEH,Le Havre-Octeville Airport,Le Havre,FR,Matched
LFOI,,Abbeville-Buigny Baie de Somme Airfield,Buigny-Saint-Maclou,FR,Matched
LFOJ,,Orléans-Bricy (BA 123) Air Base,"Boulay-les-Barres, Loiret",FR,Matched
LFOK,XCR,Chalons Vatry airport,Chalons en Champagne,FR,Matched
LFOP,URO,Rouen Vallée de Seine Airport,Boos,FR,Matched
LFOT,TUF,Tours Val de Loire Airport,"Tours, Indre-et-Loire",FR,Matched
LFOV,LVA,Laval-Entrammes Airport,"Laval, Mayenne",FR,Matched
LFPB,LBG,Paris-Le Bourget International Airport,Paris,FR,Matched
LFPC,CSF,Creil Air Base,Creil,FR,Matched
LFPG,CDG,Charles de Gaulle International Airport,"Paris (Roissy-en-France, Val-d'Oise)",FR,Matched
LFPM,,Melun-Villaroche Airfield,"Moissy-Cramayel, Seine-et-Marne",FR,Matched
LFPN,TNF,Toussus-le-Noble Airport,"Toussus-le-Noble, Yvelines",FR,Matched
LFPO,ORY,Paris-Orly Airport,"Paris (Orly, Val-de-Marne)",FR,Matched
LFPT,POX,Pontoise-Cormeilles Aerodrome,"Cormeilles-en-Vexin, Val-d'Oise",FR,Matched
LFPV,VIY,Vélizy-Villacoublay Air Base,"Vélizy-Villacoublay, Yvelines",FR,Matched
LFQB,,Troyes-Barberey Airport,"Barberey-Saint-Sulpice, Aube",FR,Matched
LFQE,,Lieutenant Étienne Mantoux Air Base,Rouvres-en-Woëvre,FR,Matched
LFQG,NVS,Nevers-Fourchambault Airport,"Marzy, Nièvre",FR,Matched
LFQP,,Phalsbourg-Bourscheid Air Base,Bourscheid,FR,Matched
LFQQ,LIL,Lille Airport,Lesquin,FR,Matched
LFQT,HZB,Merville-Calonne Airport,"Merville, Nord",FR,Matched
LFQV,,Charleville-Mézières Ardennes-Etienne Riché Airfield,Charleville-Mézières,FR,Matched
LFQW,,Vesoul-Frotey Airfield,"Frotey-lès-Vesoul, Haute-Saône",FR,Matched
LFRB,BES,Brest Bretagne airport,Brest,FR,Matched
LFRC,CER,Cherbourg Manche airport,Cherbourg,FR,Matched
LFRD,DNR,Dinard Pleurtuit Saint-Malo airport,Dinard,FR,Matched
LFRE,LBY,La Baule-Escoublac Airport,La Baule-Escoublac,FR,Matched
LFRF,GFR,Granville Airport,"Bréville-sur-Mer, Manche",FR,Matched
LFRG,DOL,Deauville Normandie airport,Deauville,FR,Matched
LFRH,LRT,Lorient South Brittany (Bretagne Sud) Airport,Lorient/Lann/Bihoué,FR,Matched
LFRI,EDM,La Roche-sur-Yon Les Ajoncs Airport,La Roche-sur-Yon,FR,Matched
LFRJ,LDV,Landivisiau Air Base,Landivisiau,FR,Matched
LFRK,CFR,Caen Carpiquet airport,Caen,FR,Matched
LFRL,,Lanvéoc-Poulmic Air Base,Lanvéoc/Poulmic,FR,Matched
LFRM,LME,Le Mans-Arnage Airport,"Le Mans, Sarthe",FR,Matched
LFRN,RNS,Rennes-Saint-Jacques Airport,"Saint-Jacques-de-la-Lande, Ille-et-Vilaine",FR,Matched
LFRO,LAI,Lannion Airport,Lannion,FR,Matched
LFRQ,UIP,Quimper-Cornouaille Airport,Quimper/Pluguffan,FR,Matched
LFRS,NTE,Nantes Atlantique Airport,Nantes,FR,Matched
LFRT,SBK,Saint-Brieuc-Armor Airport,"Trémuson, Côtes-d'Armor",FR,Matched
LFRU,MXN,Morlaix-Ploujean Airport,Morlaix/Ploujean,FR,Matched
LFRV,VNE,Vannes-Meucon Airport,Vannes/Meucon,FR,Matched
LFRZ,SNR,Saint-Nazaire-Montoir Airport,Saint-Nazaire/Montoir,FR,Matched
LFSB,BSL,EuroAirport Basel–Mulhouse–Freiburg,Bâle / Mulhouse,FR,Matched
LFSD,DIJ,Dijon Longvic airport,Dijon,FR,Matched
LFSG,EPL,Épinal Mirecourt Airport,Épinal,FR,Matched
LFSI,,Saint-Dizier – Robinson Air Base,Saint-Dizier,FR,Matched
LFSL,BVE,Brive Souillac airport,Brive,FR,Matched
LFSM,,Montbéliard-Courcelles Airfield,Courcelles-lès-Montbéliard,FR,Matched
LFSN,ENC,Nancy-Essey Airport,"Tomblaine, Meurthe-et-Moselle",FR,Matched
LFSO,,Nancy-Ochey (BA 133) Air Base,Thuilley-aux-Groseilles,FR,Matched
LFST,SXB,Strasbourg Airport,Strasbourg,FR,Matched
LFSX,,Luxeuil-Saint-Sauveur (BA 116) Air Base,Saint-Sauveur,FR,Matched
LFTH,TLN,Toulon-Hyères Airport,"Hyères, Var",FR,Matched
LFTO,,,,,Unmatched
LFTW,FNI,Nîmes-Arles-Camargue Airport,Nîmes/Garons,FR,Matched
LFXA,,Ambérieu Air Base (BA 278),Ambérieu,FR,Matched
LGAD,PYR,Andravida Air Base,Andravida,GR,Matched
LGAL,AXD,Alexandroupoli Democritus Airport,Alexandroupolis,GR,Matched
LGAV,ATH,Athens Eleftherios Venizelos International Airport,Spata-Artemida,GR,Matched
LGBL,VOL,Nea Anchialos National Airport,Nea Anchialos,GR,Matched
LGEL,,Elefsis Air Base,Elefsina,GR,Matched
LGHI,JKH,Chios Island National Airport,Chios Island,GR,Matched
LGIO,IOA,Ioannina King Pyrrhus National Airport,Ioannina,GR,Matched
LGIR,HER,Heraklion International Nikos Kazantzakis Airport,Heraklion,GR,Matched
LGKF,EFL,Kefallinia Airport,Kefallinia Island,GR,Matched
LGKL,KLX,Kalamata Airport,Kalamata,GR,Matched
LGKO,KGS,"Kos International Airport ""Ippokratis""",Kos Island,GR,Matched
LGKP,AOK,Karpathos Airport,Karpathos Island,GR,Matched
LGKR,CFU,Corfu Ioannis Kapodistrias International Airport,Kerkyra (Corfu),GR,Matched
LGKV,KVA,Kavala Alexander the Great International Airport,Kavala,GR,Matched
LGKZ,KZI,Kozani National Airport Filippos,Kozani,GR,Matched
LGMK,JMK,Mykonos Island National Airport,Mykonos,GR,Matched
LGMT,MJT,Mytilene International Airport,Mytilene,GR,Matched
LGPZ,PVK,Aktion National Airport,Preveza,GR,Matched
LGRP,RHO,"Rhodes International Airport ""Diagoras""",Rhodes,GR,Matched
LGRX,GPA,Patras Araxos Agamemnon Airport,Patras,GR,Matched
LGSA,CHQ,Chania International Airport,Souda,GR,Matched
LGSK,JSI,Skiathos Island National Airport,Skiathos,GR,Matched
LGSM,SMI,Samos Airport,Samos Island,GR,Matched
LGSR,JTR,Santorini International Airport,Santorini Island,GR,Matched
LGST,JSH,Sitia Airport,Crete Island,GR,Matched
LGTG,,Tanagra Air Base,Tanagra,GR,Matched
LGTS,SKG,Thessaloniki Macedonia International Airport,Thessaloniki,GR,Matched
LGZA,ZTH,Zakynthos International Airport Dionysios Solomos,Zakynthos,GR,Matched
LHBP,BUD,Budapest Liszt Ferenc International Airport,Budapest,HU,Matched
LHDC,DEB,Debrecen International Airport,Debrecen,HU,Matched
LHKE,,Kecskemét Air Base,Kecskemét,HU,Matched
LHPP,PEV,Pécs-Pogány International Airport,Pécs,HU,Matched
LHPR,,Győr-Pér Airport,Győr,HU,Matched
LHSM,SOB,Hévíz–Balaton Airport,Sármellék,HU,Matched
LHSN,,Szolnok Air Base,Szolnok,HU,Matched
LHTA,,Taszár Air Base,Taszár,HU,Matched
LHTL,,Tököl Airport,Tököl,HU,Matched
LIBA,,Amendola Air Base,San Giovanni Rotondo (FG),IT,Matched
LIBC,CRV,Crotone Sant'Anna Pythagoras Airport,Isola di Capo Rizzuto (KR),IT,Matched
LIBD,BRI,Bari Karol Wojtyła International Airport,Bari,IT,Matched
LIBF,FOG,Foggia Gino Lisa Airport,Foggia (FG),IT,Matched
LIBG,TAR,Taranto-Grottaglie Marcello Arlotta Airport,Grottaglie,IT,Matched
LIBN,LCC,Lecce Galatina Air Base / Galatina Fortunato Cesari Airport,Galatina (LE),IT,Matched
LIBP,PSR,Abruzzo Airport,Pescara,IT,Matched
LIBR,BDS,Brindisi Airport,Brindisi,IT,Matched
LIBV,,Gioia del Colle Antonio Ramirez Air Base,Gioia del Colle (BA),IT,Matched
LICA,SUF,Lamezia Terme Sant'Eufemia International Airport,Lamezia Terme (CZ),IT,Matched
LICB,CIY,Comiso Airport,Comiso,IT,Matched
LICC,CTA,Catania-Fontanarossa Airport,Catania,IT,Matched
LICD,LMP,Lampedusa Airport,Lampedusa,IT,Matched
LICG,PNL,Pantelleria Airport,Pantelleria (TP),IT,Matched
LICJ,PMO,Falcone–Borsellino Airport,Palermo,IT,Matched
LICP,,Palermo-Boccadifalco Airport,Palermo,IT,Matched
LICR,REG,Reggio Calabria Airport,Reggio Calabria,IT,Matched
LICT,TPS,Vincenzo Florio Airport Trapani-Birgi,Trapani (TP),IT,Matched
LICZ,,Sigonella Navy Air Base,Sigonella (CT),IT,Matched
LIDT,,Trento-Mattarello Airport,Trento (TN),IT,Matched
LIEA,AHO,Alghero-Fertilia Airport,Alghero,IT,Matched
LIED,DCI,Decimomannu Air Base,Decimomannu,IT,Matched
LIEE,CAG,Cagliari Elmas Airport,Cagliari,IT,Matched
LIEO,OLB,Olbia Costa Smeralda Airport,Olbia (SS),IT,Matched
LIET,,Tortolì Airport,Arbatax,IT,Matched
LILE,,Biella-Cerrione Airfield,Cerrione (BI),IT,Matched
LILI,,Vercelli Airport,Vercelli (VC),IT,Matched
LILN,,Varese-Venegono Airport,Venegono Superiore (VA),IT,Matched
LIMA,,Torino-Aeritalia Airport,Torino (TO),IT,Matched
LIMC,MXP,Milan Malpensa International Airport,Ferno (VA),IT,Matched
LIME,BGY,Il Caravaggio International Airport,Orio al Serio (BG),IT,Matched
LIMF,TRN,Turin Airport,Caselle Torinese (TO),IT,Matched
LIMG,,Riviera Villanova d'Albenga International Airport,Villanova d'Albenga (SV),IT,Matched
LIMJ,GOA,Genoa Cristoforo Colombo Airport,Genova (GE),IT,Matched
LIML,LIN,Milano Linate Airport,Segrate (MI),IT,Matched
LIMN,,Cameri Air Base,Cameri (NO),IT,Matched
LIMP,PMF,Parma Airport,Parma (PR),IT,Matched
LIMR,,Novi Ligure Eugenio Mossi Airfield,Novi Ligure (AL),IT,Matched
LIMS,,Piacenza San Damiano Air Base,San Damiano (PC),IT,Matched
LIMW,AOT,Aosta Corrado Gex Airport,Saint-Christophe (AO),IT,Matched
LIMZ,CUF,Cuneo International Airport,Levaldigi (CN),IT,Matched
LIPA,AVB,Aviano Air Base,Aviano (PN),IT,Matched
LIPB,BZO,Bolzano Airport,Bolzano (BZ),IT,Matched
LIPC,,Cervia Air Base,Cervia (RA),IT,Matched
LIPE,BLQ,Bologna Guglielmo Marconi Airport,Bologna,IT,Matched
LIPH,TSF,Treviso Airport,Treviso (TV),IT,Matched
LIPI,,Udine-Rivolto Air Base,Codroipo (UD),IT,Matched
LIPK,FRL,Forlì-Luigi Ridolfi International Airport,Forlì (FC),IT,Matched
LIPL,,Ghedi Air Base,Ghedi (BS),IT,Matched
LIPO,VBS,Brescia Gabriele d'Annunzio Airport,Montichiari (BS),IT,Matched
LIPQ,TRS,Trieste Airport,Ronchi dei Legionari/Trieste,IT,Matched
LIPR,RMI,Federico Fellini International Airport,Rimini (RN),IT,Matched
LIPS,,Istrana Air Base,Istrana (TV),IT,Matched
LIPU,,Padova Gino Allegri Airfield,Padova (PD),IT,Matched
LIPX,VRN,Verona Villafranca Valerio Catullo Airport,Caselle (VR),IT,Matched
LIPY,AOI,Marche Airport,Falconara Marittima (AN),IT,Matched
LIPZ,VCE,Venice Marco Polo Airport,Venezia (VE),IT,Matched
LIQS,,Siena-Ampugnano Airport,Ampugnano (SI),IT,Matched
LIQW,,Sarzana-Luni Bartolomeo Arrigoni Airport,Sarzana (SP),IT,Matched
LIRA,CIA,Ciampino–G. B. Pastine International Airport,Rome,IT,Matched
LIRE,,Pratica di Mare Air Base,Pomezia (RM),IT,Matched
LIRF,FCO,Rome–Fiumicino Leonardo da Vinci International Airport,Rome,IT,Matched
LIRG,,Guidonia Air Base,Guidonia (RM),IT,Matched
LIRI,QSR,Salerno Costa d'Amalfi Airport,Salerno,IT,Matched
LIRJ,EBA,Marina di Campo Airport,Campo nell'Elba (LI),IT,Matched
LIRL,,Latina Air Base,Latina,IT,Matched
LIRM,,Grazzanise Air Base,Caserta,IT,Matched
LIRN,NAP,Naples International Airport,Napoli,IT,Matched
LIRP,PSA,Pisa International Airport,Pisa (PI),IT,Matched
LIRQ,FLR,"Florence Airport, Peretola",Firenze (FI),IT,Matched
LIRS,GRS,Grosseto Corrado Baccarini Air Base / Grosseto Airport,Grosseto (GR),IT,Matched
LIRU,,Rome Urbe Airport,Rome,IT,Matched
LIRV,,Viterbo Airport,Viterbo,IT,Matched
LIRZ,PEG,Perugia San Francesco d'Assisi – Umbria International Airport,Perugia (PG),IT,Matched
LJCE,,Cerklje ob Krki Air Base,Cerklje ob Krki,SI,Matched
LJLJ,LJU,Ljubljana Jože Pučnik Airport,Zgornji Brnik,SI,Matched
LJMB,MBX,Maribor Edvard Rusjan Airport,Maribor,SI,Matched
LJPZ,POW,Portorož Airport,Sečovlje,SI,Matched
LKCV,,Čáslav Air Base,Chotusice,CZ,Matched
LKKB,,Prague–Kbely Air Base,Prague,CZ,Matched
LKKU,UHE,Kunovice Airport,Uherské Hradiště,CZ,Matched
LKKV,KLV,Karlovy Vary Airport,Karlovy Vary,CZ,Matched
LKLN,,Plzeň-Líně Airport,Plzen,CZ,Matched
LKMT,OSR,Leoš Janáček Airport Ostrava,Mošnov,CZ,Matched
