airport_icao,airport_iata,airport_name,airport_city,country_code,match_status
EEEI,,Ämari Air Base,Keila,EE,Matched
EEKA,KDL,Kärdla Airport,Kärdla,EE,Matched
EEKE,URE,Kuressaare Airport,Kuressaare,EE,Matched
EEPU,EPU,Pärnu Airport,Pärnu,EE,Matched
EETN,TLL,Lennart Meri Tallinn Airport,Tallinn,EE,Matched
EETU,TAY,Tartu Airport,Tartu,EE,Matched
EFET,ENF,Enontekio Airport,Enontekio,FI,Matched
EFHA,KEV,Halli Airport,Jämsä,FI,Matched
EFHK,HEL,Helsinki Vantaa Airport,Helsinki (Vantaa),FI,Matched
EFIT,KTQ,Kitee Airport,Kitee,FI,Matched
EFJO,JOE,Joensuu Airport,Joensuu,FI,Matched
EFJY,JYV,Jyväskylä Airport,Jyväskylän Maalaiskunta,FI,Matched
EFKA,KAU,Kauhava Airfield,Kauhava,FI,Matched
EFKI,KAJ,Kajaani Airport,Kajaani,FI,Matched
EFKJ,KHJ,Kauhajoki Airfield,Kauhajoki,FI,Matched
EFKK,KOK,Kokkola-Pietarsaari Airport,Kokkola / Kruunupyy,FI,Matched
EFKS,KAO,Kuusamo Airport,Kuusamo,FI,Matched
EFKU,KUO,Kuopio Airport,Kuopio / Siilinjärvi,FI,Matched
EFLP,LPP,Lappeenranta Airport,Lappeenranta,FI,Matched
EFMA,MHQ,Mariehamn Airport,Mariehamn,FI,Matched
EFMI,MIK,Mikkeli Airport,Mikkeli,FI,Matched
EFOU,OUL,Oulu Airport,Oulu / Oulunsalo,FI,Matched
EFPO,POR,Pori Airport,Pori,FI,Matched
EFPR,,Helsinki East-Redstone Aerodrome,Helsinki (Pyhtää),FI,Matched
EFSA,SVL,Savonlinna Airport,Savonlinna,FI,Matched
EFSI,SJY,Seinäjoki Airport,Seinäjoki / Ilmajoki,FI,Matched
EFTP,TMP,Tampere-Pirkkala Airport,Tampere / Pirkkala,FI,Matched
EFTU,TKU,Turku Airport,Turku,FI,Matched
EFUT,UTI,Utti Air Base,Utti / Valkeala,FI,Matched
EFVA,VAA,Vaasa Airport,Vaasa,FI,Matched
EFVR,VRK,Varkaus Airport,Varkaus / Joroinen,FI,Matched
EFYL,YLI,Ylivieska Airfield,Ylivieska,FI,Matched
EG-0003,,Bilbeis 2 Airfield,Bilbeis,EG,Matched
EGAA,BFS,Belfast International Airport,Belfast,GB,Matched
EGAB,ENK,Enniskillen/St Angelo Airport,"Enniskillen, Fermanagh and Omagh",GB,Matched
EGAC,BHD,George Best Belfast City Airport,Belfast,GB,Matched
EGAE,LDY,City of Derry Airport,"Derry, Derry and Strabane",GB,Matched
EGBB,BHX,Birmingham Airport,"Birmingham, West Midlands",GB,Matched
EGBE,,Coventry Airport,"Coventry, West Midlands",GB,Matched
EGBJ,GLO,Gloucestershire Airport,"Staverton, Gloucestershire",GB,Matched
EGBN,NQT,Nottingham City Airport,"Nottingham, Nottinghamshire",GB,Matched
EGCC,MAN,Manchester Airport,"Manchester, Greater Manchester",GB,Matched
EGDC,,Royal Marines Base Chivenor,Chivenor,GB,Matched
EGDM,,MoD Boscombe Down,"Salisbury, Wiltshire",GB,Matched
EGDR,,RNAS Culdrose,Helston,GB,Matched
EGDX,,MOD St Athan,"St Athan, Vale of Glamorgan",GB,Matched
EGDY,YEO,RNAS Yeovilton,"Yeovil, Somerset",GB,Matched
EGEC,CAL,Campbeltown Airport,Campbeltown,GB,Matched
EGED,EOI,Eday Airport,Eday,GB,Matched
EGFE,HAW,Haverfordwest Airport,Haverfordwest,GB,Matched
EGFF,CWL,Cardiff International Airport,Cardiff,GB,Matched
EGFH,SWS,Swansea Airport,Swansea,GB,Matched
EGGD,BRS,Bristol Airport,Bristol,GB,Matched
EGGP,LPL,Liverpool John Lennon Airport,Liverpool,GB,Matched
EGGW,LTN,London Luton Airport,"Luton, Luton",GB,Matched
EGHH,BOH,Bournemouth Airport,Bournemouth,GB,Matched
EGHI,SOU,Southampton Airport,Southampton,GB,Matched
EGHL,,Lasham Airfield,"Alton, Hampshire",GB,Matched
EGHQ,NQY,Cornwall Airport Newquay,Newquay,GB,Matched
EGJA,ACI,Alderney Airport,Saint Anne,GG,Matched
EGJB,GCI,Guernsey Airport,Saint Peter Port,GG,Matched
EGJJ,JER,Jersey Airport,St. Peter,JE,Matched
EGKA,ESH,Brighton City Airport,"Brighton, East Sussex",GB,Matched
EGKB,BQH,London Biggin Hill Airport,London,GB,Matched
EGKK,LGW,London Gatwick Airport,London,GB,Matched
EGLC,LCY,London City Airport,London,GB,Matched
EGLF,FAB,Farnborough Airport,"Farnborough, Hampshire",GB,Matched
EGLK,BBS,Blackbushe Airport,"Camberley, Surrey",GB,Matched
EGLL,LHR,London Heathrow Airport,London,GB,Matched
EGMC,SEN,London Southend Airport,"Southend-on-Sea, Essex",GB,Matched
EGMD,LYX,Lydd London Ashford Airport,"Romney Marsh, Kent",GB,Matched
EGNC,CAX,Carlisle Lake District Airport,"Carlisle, Cumbria",GB,Matched
EGNH,BLK,Blackpool Airport,Blackpool,GB,Matched
EGNJ,HUY,Humberside Airport,"Grimsby, Lincolnshire",GB,Matched
EGNL,BWF,Barrow Walney Island Airport,Barrow-in-Furness,GB,Matched
EGNM,LBA,Leeds Bradford Airport,"Leeds, West Yorkshire",GB,Matched
EGNO,WRT,Warton Aerodrome,Warton,GB,Matched
EGNR,CEG,Hawarden Airport,Broughton,GB,Matched
EGNS,IOM,Isle of Man Airport,Castletown,IM,Matched
EGNT,NCL,Newcastle International Airport,"Newcastle upon Tyne, Tyne and Wear",GB,Matched
EGNV,MME,Teesside International Airport,"Darlington, Durham",GB,Matched
EGNX,EMA,East Midlands Airport,"Nottingham, Leicestershire",GB,Matched
EGOM,,RAF Spadeadam,Spadeadam,GB,Matched
EGOS,,RAF Shawbury,"Shrewsbury, Shropshire",GB,Matched
EGOV,VLY,Anglesey Airport,Angelsey,GB,Matched
EGPA,KOI,Kirkwall Airport,"Kirkwall, Orkney Islands",GB,Matched
